change_scope,closed_prs,merged_prs,acceptance_rate,acceptance_ci_low,acceptance_ci_high
Peripheral/no core source,9889,7958,0.8047325310951562,0.7968019156404508,0.8124264870472505
Touches core source,21395,16056,0.750455713951858,0.7446124303630535,0.7562090753536688
