agent,total_prs,closed_prs,merged_prs,acceptance_rate,acceptance_ci_low,acceptance_ci_high
OpenAI_Codex,21799,20993,18004,0.8576192064021341,0.8528267777999787,0.862280779184134
Cursor,1541,1347,1005,0.7461024498886414,0.7221820865759842,0.768623104270623
Claude_Code,459,380,271,0.7131578947368421,0.6657277120456377,0.7563215384384687
Devin,4827,4673,2595,0.5553177830087738,0.5410303898465438,0.5695143024531959
Copilot,4970,3891,2139,0.5497301464919044,0.5340562229650968,0.5653059729269997
